5m,10m,20m
3.3635,3.4745,3.0692
4.3848,4.147,6.7121
1.5408,1.2124,0.5711
1.7437,1.8723,2.122
107.0411,11.0797,14.5181
3.3061,3.2015,3.303
5.7399,5.8178,2.765
3.0006,2.194,1.9447
2.9741,2.597,1.4474
4.404,5.926,6.5017
2.9325,3.3583,2.7507
2.5291,3.1004,3.7948
3.3107,3.1949,3.7756
4.1984,3.0953,3.1704
3.1586,3.0546,3.4981
6.8693,5.8683,6.8406
5.4874,4.9194,3.7551
3.5684,2.9026,4.8222
7.1218,5.9915,3.9653
3.8051,3.6607,2.658
3.6319,2.7014,3.3734
1.9308,1.8549,1.0804
4.9121,5.7454,6.7529
14.0632,3.8358,1.7216
8.8533,9.3412,5.5931
5.64,4.7918,2.7267
5.0164,5.0295,4.7233
4.9164,5.1436,4.2175
5.943,6.1604,2.5537
3.5707,3.2566,1.6059
5.7151,4.7144,6.7449
5.6497,4.4854,6.5552
3.1382,2.5977,2.6176
2.9794,4.0665,2.0435
7.9499,8.8823,11.3686
3.2621,3.4285,2.9554
10.9732,5.2562,3.7618
5.0506,4.1971,4.6676
4.2809,2.7653,2.3042
4.4267,4.4831,2.9324
3.7911,3.7528,2.8326
1.6694,2.1363,2.2052
3.4518,3.0092,3.0339
3.0698,3.4804,4.9699
4.7244,2.5672,1.7451
3.3971,3.1837,2.7317
4.4795,4.5751,5.5938
5.4469,4.5726,3.7813
10.1704,3.4218,3.2598
8.1916,8.3076,7.8057
13.3029,15.573,12.5508
4.0956,3.1188,3.4027
5.0765,3.3909,2.3163
5.6913,4.1333,4.9057
6.7426,6.7761,6.3096
6.2963,6.6053,6.3244
5.189,3.9847,3.4566
2.8877,2.3069,2.4782
3.6595,2.3601,2.792
3.3048,3.5887,2.0617
5.2429,6.1575,6.1016
6.2613,8.7782,7.5055
4.5942,3.0794,3.3044
4.2583,3.4978,3.6158
3.4015,3.2078,2.5028
4.8796,3.9,4.6102
2.3002,2.5396,3.0912
3.7668,3.7344,4.0922
2.8985,2.401,2.6161
3.723,4.4359,5.1447
4.0437,2.0062,1.852
2.4832,1.8092,2.376
2.0142,2.0674,1.5587
1.8894,1.5805,1.7993
2.6252,2.5346,2.0181
1.7712,1.4713,1.3669
1.7464,1.6664,1.8802
2.8609,3.7704,4.2498
3.3228,3.1881,1.5221
1.7253,1.4827,1.2279
3.0478,2.6197,1.9778
3.7627,4.5255,3.429
2.2816,2.3745,2.7599
2.9995,2.2796,3.483
2.6456,1.9674,1.9109
2.5294,1.9773,1.5576
3.448,2.6925,2.6136
2.5817,2.6341,2.3325
1.0716,0.8949,0.6791
1.8023,1.3988,0.6751
2.4987,3.1687,3.3529
1.7762,1.7112,2.3148
1.8979,2.0132,2.128
1.2781,1.3439,1.9298
2.2896,1.9521,1.6712
3.6982,3.9489,2.7863
3.5916,3.619,3.6446
1.4303,1.8653,2.4316
0.9581,1.0237,1.2834
2.2303,2.4006,3.1579
1.5319,1.5105,1.305
5.3593,6.1684,6.4936
3.031,2.7774,1.8195
4.8053,4.5807,4.4878
3.1961,2.7089,3.0601
2.6163,3.1904,3.3746
3.3775,2.7875,2.8478
5.7123,6.4343,8.1738
2.7711,3.2695,4.1288
3.7482,2.1194,1.5081
2.1212,2.1098,1.1789
1.9637,1.2263,1.2877
1.9014,2.3053,3.2212
1.5668,1.4845,1.4368
4.7035,4.5845,2.989
2.5363,2.503,2.0541
3.2273,2.3832,2.632
1.8119,1.9295,1.4976
1.2525,1.5617,1.8638
2.2765,1.421,1.1949
1.7602,1.9033,2.0815
1.7115,1.7105,1.3515
1.8768,2.2195,2.6168
3.1587,2.7157,2.5188
2.0543,2.1963,3.1049
1.6741,1.543,1.586
6.3634,5.3884,1.8715
1.7686,1.8786,2.388
1.7783,1.9635,1.6246
5.8654,3.8441,3.8855
2.0188,1.8782,1.8175
1.8085,1.5463,1.9876
1.6768,1.5694,1.4315
3.2024,3.3205,3.8023
3.5515,1.7537,1.6497
3.8947,3.0671,1.8234
1.9297,1.6297,1.2766
3.4713,4.3007,3.2726
2.4262,2.7463,3.3855
2.725,2.0095,2.3532
2.764,3.8564,5.1794
2.7329,3.5055,4.9593
3.8417,3.9339,2.9302
3.1981,2.1294,2.6604
2.1192,2.2021,2.0022
3.319,4.2113,5.2051
4.5216,5.002,3.4881
3.6186,2.8519,2.1066
2.6966,2.2789,2.3471
3.3665,3.3877,2.1273
2.1307,1.3113,1.3812
1.3193,1.3841,1.0161
1.7938,1.707,1.3418
1.7457,2.1297,2.5714
1.4514,1.4556,1.6548
1.8184,1.7629,2.4974
1.3031,1.1851,0.6987
1.6634,1.7019,1.9332
2.2056,2.2483,2.1974
1.9387,1.6893,0.953
2.937,2.7568,2.6124
1.9929,1.969,2.2209
4.3651,3.4255,4.6254
2.5257,3.0274,1.9715
1.0882,1.1874,1.814
2.3673,2.7625,2.9249
2.2522,2.5329,2.6555
2.8816,3.6644,4.6945
1.7091,1.4738,1.0214
2.1168,1.8363,0.925
1.4164,1.1711,1.2941
2.0983,2.7982,4.2612
3.2058,4.273,3.7743
4.0238,1.8007,2.7033
1.6034,1.659,1.1286
5.1311,7.7296,4.3708
2.2936,2.298,2.7175
1.8926,1.8201,2.6416
2.143,1.7699,1.22
1.4239,1.1194,1.9848
2.6464,3.8116,4.4325
1.6464,1.456,1.5964
2.8841,2.3592,3.4269
3.0977,3.2543,4.8462
4.6001,5.7432,5.2844
3.3997,3.2952,3.0862
1.9265,2.3301,3.3093
5.2172,5.8647,6.9519
1.6076,1.0407,1.4129
2.8704,2.927,3.5558
6.2519,9.5184,6.4416
1.697,1.4462,1.9195
1.8732,1.9724,2.0843
2.3129,2.3429,2.0544
1.9364,2.2228,2.7649
1.5129,1.739,1.4205
0.7924,0.8935,0.7672
2.1521,1.666,1.3993
1.709,1.3037,1.3193
2.9699,2.4128,2.172
1.0849,1.1326,1.7648
1.0892,0.8942,0.4611
0.9484,1.0162,1.2857
1.8906,2.1681,2.3191
2.3129,1.4579,1.0733
1.0992,0.8445,0.7451
1.6592,1.2125,0.5596
2.9976,3.1824,4.4416
2.1879,2.5537,2.8547
2.2682,1.7977,1.527
2.9851,3.6401,3.107
3.3353,4.6919,3.8656
1.6794,1.93,2.5505
2.981,2.0406,2.5417
1.5941,1.2317,1.3014
2.3089,2.4069,1.9364
2.5672,2.7515,3.3863
1.8663,2.3955,2.6213
2.754,2.8676,3.4443
1.3907,1.3392,1.6597
3.6308,5.168,6.1557
4.087,4.3562,2.9505
3.561,3.3759,1.7269
1.6556,1.4837,1.3044
2.8988,3.5352,4.7293
1.379,0.7982,0.6855
4.8036,5.8114,6.5098
1.8944,2.1643,1.8704
2.8527,1.6724,2.0294
0.4795,0.3007,0.4252
1.9401,2.1877,2.6016
0.8485,0.8406,0.7381
2.0725,1.7749,2.3344
1.5146,1.696,2.2122
2.3422,2.021,2.0229
0.964,0.7428,0.5458
2.4085,2.1738,2.2005
2.3175,2.2588,2.0219
1.9954,1.1623,0.9058
0.7189,0.5132,0.2669
1.4913,1.6509,2.0008
1.3322,1.4135,1.4464
1.6372,1.6797,0.9676
2.1888,2.5426,2.0688
4.6134,3.4689,2.3751
2.942,2.3829,3.9783
2.1492,1.6848,1.5709
1.4034,1.8694,1.3658
1.9647,1.111,6.2888
1.6742,1.9962,1.8073
1.8931,1.4167,1.1273
1.0535,1.2138,1.2406
2.5975,2.6778,1.7327
1.4315,1.1748,1.3453
2.6529,3.0136,3.809
1.9291,2.1112,1.1641
3.325,2.9758,1.9583
6.4407,8.0769,9.6052
3.3292,4.0148,4.0337
3.6127,3.9869,4.3449
2.696,2.314,1.4234
3.2308,2.3194,2.5998
2.7415,3.4218,4.7903
1.9109,1.1506,1.4189
2.7028,1.7263,2.307
2.0763,2.1079,2.0939
3.6868,2.9261,2.264
1.4607,1.2024,1.7613
1.2173,1.156,1.0687
2.8695,3.2218,5.5588
3.8392,4.4327,4.9795
4.1788,5.4168,3.2766
2.7565,3.6871,5.3183
2.4172,1.9243,1.1397
2.5231,1.9171,1.3891
3.3259,3.2805,3.3294
1.98,2.27,1.0457
1.283,0.918,0.8432
1.5097,1.7007,0.9447
2.4873,3.0829,1.9117
3.2211,3.352,2.3126
2.083,1.8059,1.5158
1.2458,1.2941,1.4965
1.0851,0.998,1.0103
2.1153,1.6861,1.3914
1.8359,2.0414,2.3527
3.3339,2.289,1.629
2.1944,1.805,2.1664
1.3395,1.0193,0.6762
2.7383,3.1129,3.0233
4.6535,6.2269,4.6574
2.6592,2.2281,2.8416
2.389,2.3667,2.1978
2.8173,1.2504,1.1459
1.9898,2.6165,1.6478
3.1297,1.855,1.489
1.4581,1.7612,1.2585
2.272,2.5231,2.4157
2.7152,3.2313,3.1367
4.3215,5.2266,3.7711
2.0795,2.1601,1.8246
2.8156,2.8165,2.4722
2.2521,2.2392,1.861
2.1545,1.2924,1.3226
1.7163,1.3721,1.2434
2.3143,1.7077,1.6485
2.8758,4.1317,4.3189
2.7332,1.9789,1.3671
3.8024,5.6926,5.5476
2.0057,1.7661,1.3963
1.3821,0.837,0.4982
1.2844,0.6544,0.6758
0.9123,0.7281,0.4957
1.5872,1.8337,1.5065
2.5897,1.406,1.4978
1.7687,1.6339,1.3344
1.8486,1.8427,1.2167
1.748,1.358,1.2679
13.3502,1.7583,1.3033
3.109,4.441,3.8509
1.3721,1.7173,1.05
3.107,3.1552,3.1512
2.4874,2.5848,2.6406
3.2602,3.3807,3.3868
1.6436,1.8144,1.5142
1.7224,1.6676,2.069
1.8612,1.3438,1.6506
17.7923,19.1777,28.1534
5.7749,5.4538,5.6816
3.768,3.1398,3.4632
5.1514,3.3128,3.073
4.7074,3.4229,1.8359
5.5567,8.3439,9.9087
10.8065,3.7491,3.7128
3.2743,3.0383,1.7533
3.0118,2.5793,3.0946
4.8383,7.1472,2.5901
1.4688,1.4514,1.1785
3.5661,4.2928,3.0513
3.6526,3.5175,4.8249
